2,3
3,3
5,3
8,10
11,10
12,1
13,1
16,1
17,1
18,9
19,1
20,9
21,1
22,1
24,3
29,3
31,10
32,1
35,1
36,9
37,3
40,10
47,1
48,1
50,15
51,10
53,15
56,10
58,1
59,1
63,10
67,1
68,3
84,1
87,3
90,3
91,1
95,1
96,1
97,15
98,1
99,9
103,1
107,1
111,9
114,1
116,1
122,1
124,1
125,1
127,3
131,3
133,3
135,3
137,1
138,3
139,1
141,1
142,1
145,1
146,3
147,1
148,3
152,1
154,1
155,1
156,1
157,1
158,3
160,3
161,3
162,1
167,1
171,1
178,3
180,1
182,3
184,3
190,9
192,9
193,9
194,3
204,1
206,1
208,1
210,3
211,3
216,1
218,3
223,10
225,3
240,1
241,1
243,1
244,1
245,1
247,1
248,1
250,1
252,1
253,1
254,1
255,1
257,1
264,3
269,3
270,1
272,3
273,1
275,1
277,3
279,3
280,3
282,1
283,1
288,1
289,1
290,3
291,1
294,1
296,1
299,1
300,1
302,19
304,1
305,1
307,10
311,8
312,1
313,3
314,1
315,1
317,3
319,1
320,1
324,1
325,1
326,3
332,1
334,1
339,3
341,3
343,3
344,3
351,1
352,3
354,3
359,3
363,1
365,1
369,9
376,1
380,3
381,3
383,1
384,2
385,1
387,3
389,1
390,3
392,3
393,1
395,1
397,1
398,1
403,3
405,3
406,3
408,3
410,3
412,1
418,1
426,1
428,1
431,1
434,1
445,8
448,1
451,9
452,1
453,4
454,3
456,1
459,9
460,8
461,9
462,1
464,9
465,10
467,1
470,1
471,3
474,1
476,1
482,3
484,9
485,1
486,9
489,1
491,1
492,1
493,1
496,3
497,3
498,1
499,9
501,1
502,1
505,1
506,1
507,1
508,1
515,3
517,1
521,1
522,1
524,1
526,3
527,1
530,1
531,1
533,1
534,1
535,1
537,1
538,1
545,3
549,3
552,3
553,1
556,3
558,1
560,1
563,3
565,24
567,1
569,1
570,1
575,1
589,3
590,1
606,1
619,10
623,1
632,3
634,1
635,1
639,9
641,10
643,9
652,1
656,3
657,2
658,1
659,9
664,1
667,3
673,1
684,1
686,3
687,3
690,3
692,3
695,10
697,10
699,15
702,1
704,2
705,3
709,2
710,9
714,1
715,1
716,1
719,3
722,1
725,10
726,10
727,1
728,1
731,1
732,1
733,9
736,9
739,2
741,10
745,3
748,10
750,2
753,23
757,1
763,1
766,1
768,1
774,3
776,3
779,11
782,9
785,1
797,2
798,1
801,4
802,1
803,10
804,3
805,2
811,1
813,3
816,1
823,1
824,2
827,3
829,3
833,1
834,2
842,1
845,3
847,1
850,3
851,1
852,3
855,24
856,1
862,3
872,1
874,1
875,3
878,3
881,1
883,2
884,1
887,3
888,1
889,3
890,3
894,1
896,1
897,1
898,3
899,1
907,1
910,23
912,2
913,1
914,1
917,1
918,3
925,3
926,3
927,1
928,1
930,1
931,2
934,1
939,3
940,3
941,1
942,3
946,9
954,9
957,9
958,1
959,3
962,1
965,1
968,1
974,2
975,3
978,3
979,1
982,1
983,2
986,1
989,1
994,3
997,1
999,10
1001,3
1004,3
1005,1
1007,10
1008,3
1009,3
1011,3
1014,1
1016,2
1017,2
1018,1
1019,1
1020,9
1022,2
1025,10
1028,10
1031,1
1037,3
1038,2
1040,2
1041,9
1042,1
1048,1
1049,1
1050,3
1051,3
1053,3
1054,3
1056,3
1058,1
1059,3
1075,2
1076,1
1077,2
1078,3
1079,1
1080,3
1082,2
1085,2
1093,2
1094,10
1097,1
1102,10
1108,10
1110,2
1112,24
1118,2
1121,1
1125,10
1127,10
1132,3
1134,1
1138,2
1140,9
1141,3
1145,2
1147,1
1149,1
1157,1
1160,1
1162,1
1164,3
1167,3
1169,2
1170,9
1171,3
1173,9
1174,3
1175,2
1177,2
1178,9
1180,2
1182,3
1183,3
1184,3
1186,10
1187,2
1189,1
1192,3
1194,1
1197,10
1199,10
1200,9
1201,1
1202,3
1204,2
1209,1
1214,1
1215,24
1218,2
1221,1
1222,3
1223,2
1226,10
1231,10
1234,3
1237,1
1238,10
1239,24
1241,3
1243,1
1245,1
1246,24
1247,1
1249,10
1251,3
1252,3
1257,1
1258,3
1263,1
1264,1
1265,3
1273,3
1277,3
1283,3
1286,3
1288,3
1290,24
1296,1
1297,3
1298,1
1300,1
1303,1
1304,1
1309,1
1310,10
1311,1
1313,1
1316,3
1318,1
1320,10
1328,24
1330,3
1332,3
1335,2
1336,3
1337,1
1338,3
1339,3
1342,3
1346,2
1347,3
1352,1
1353,10
1357,10
1358,2
1362,2
1363,1
1364,3
1366,2
1368,9
1369,24
1370,9
1371,1
1378,3
1380,2
1388,1
1392,1
1396,1
1400,1
1407,1
1413,1
1415,1
1420,3
1422,1
1425,2
1426,3
1428,3
1431,3
1432,2
1434,3
1435,3
1436,1
1438,24
1443,24
1445,24
1450,24
1454,10
